z,x,y,before_feature_coordinate_count,before_overflow,before_coordinate_count,before_tile_bytes,after_feature_coordinate_count,after_overflow,after_coordinate_count,after_coordinate_count_unbounded,after_truncated,after_feature_count,after_tile_bytes,after_seconds
6,46,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,46,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,46,23,1218,0,2127,6075,2128,0,4349,4349,False,6,11505,0.132
6,46,24,580,0,1314,4228,580,0,1740,1740,False,7,5300,0.049
6,46,25,519,0,1309,4004,1091,0,2774,2774,False,6,7727,0.074
6,46,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,46,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,46,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,23,0,0,0,0,0,0,0,0,False,0,0,0.014
6,47,24,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,25,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,47,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,23,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,24,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,25,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,48,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,49,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,49,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,49,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,49,23,270,0,270,961,270,0,280,280,False,2,1047,0.012
6,49,24,1220,0,4877,14471,2588,0,9869,9869,False,11,27656,0.249
6,49,25,3213,0,8542,25225,6266,0,15571,15571,False,11,43256,0.368
6,49,26,152,0,206,809,152,0,295,295,False,3,1032,0.014
6,49,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,49,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,50,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,50,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,50,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,50,23,0,0,0,0,55,0,55,55,False,1,395,0.006
6,50,24,1906,0,5555,16641,4317,0,11237,11237,False,11,31226,0.262
6,50,25,3241,0,20604,60621,7744,0,40512,40512,False,27,114134,0.889
